用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的编辑/编辑/删除功能(#597),编辑标签--排序为1,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“编辑”按钮
2.排序为1，填写名称并选择效果样式
3.点击保存","1.弹出编辑标签页面
2.预览样式更新
3.保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的编辑/编辑/删除功能(#597),编辑标签--排序为-1,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“编辑”按钮
2.排序为-1，填写名称并选择效果样式
3.点击保存","1.弹出编辑标签页面
2.预览样式更新
3.保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的编辑/编辑/删除功能(#597),编辑标签--排序为非数字,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“编辑”按钮
2.排序为非数字，填写名称并选择效果样式
3.点击保存","1.弹出编辑标签页面
2.预览样式更新
3.保存失败，提示排序为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),删除标签,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“删除”按钮 
2.弹出框点击“确认”","1.弹出删除二次确认弹框
2.删除成功，列表刷新后无该标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),搜索--有内容,"1.已登录供应商账号
2.已进入标签管理页面","1.搜索框输入搜索内容
2.点击输入框右侧搜索",1.搜索出符合匹配内容标签管理,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),搜索--无内容,"1.已登录供应商账号
2.已进入标签管理页面
3.已搜索出内容 ","1.搜索框清空内容
2.点击输入框右侧搜索",1.搜索出所有标签,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),刷新,"1.已登录供应商账号
2.已进入标签管理页面
3.已搜索出内容 ",1.点击搜索右侧“刷新”按钮,1.标签列表页面刷新，获取所有标签，搜索内容置空,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),日志--选中推荐,"1.已登录供应商账号
2.已进入标签管理页面","1.选中一条标签
2.点击搜索右侧“日志”按钮",1.显示该标签对应的操作日志,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),日志--未选中,"1.已登录供应商账号
2.已进入标签管理页面","1.未选中一条标签
2.点击搜索右侧“日志”按钮",1.提示用户先选中一条标签,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),列表底部--向右翻页>,"1.已登录供应商账号
2.列表内有多页标签记录",1.点击列表底部向右翻页>,1.列表向右翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),列表底部--向左翻页<,"1.已登录供应商账号
2.列表内有多页标签记录",1.点击列表底部向左翻页<,1.列表向左翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),列表底部--向右翻页》,"1.已登录供应商账号
2.列表内有多页标签记录",1.点击列表底部向右翻页》,1.列表向右翻到最大页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),列表底部--向左翻页《,"1.已登录供应商账号
2.列表内有多页标签记录",1.点击列表底部向左翻页《,1.列表向左翻到第一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),列表底部--指定翻页（小于最大页）,"1.已登录供应商账号
2.列表内有多页标签记录",1.页数内输入小于最大页数整数,1.直接跳转到指定页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),列表底部--指定翻页（等于最大页）,"1.已登录供应商账号
2.列表内有多页标签记录",1.页数内输入最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),列表底部--指定翻页（大于最大页）,"1.已登录供应商账号
2.列表内有多页标签记录",1.页数内输入大于最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),列表底部--指定翻页（非数字）,"1.已登录供应商账号
2.列表内有多页标签记录",1.页数内输入大写数字,1.不可输入,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),产品推荐页面顶部模块跳转,"1.已登录供应商账号
2.已进入产品推荐页面",1.点击顶部模块--计调中心、资源中心、系统中心、销售中心、财务中心,1.左侧显示相应模块菜单，标签页面不变,3,功能测试,功能测试阶段
